amplitude [Vpp],frequency [Hz],reflection/transmission
0.05,1550000.0,0.9789250532105254
0.05,1550666.6666666667,0.9675422037545892
0.05,1551333.3333333333,0.9907193309600499
0.05,1552000.0,0.9907193309600496
0.05,1552666.6666666667,0.9791993387395841
0.05,1553333.3333333333,1.0143078864590984
0.05,1554000.0,0.9908564737245793
0.05,1554666.6666666667,0.9908564737245793
0.05,1555333.3333333333,0.9153385123000459
0.05,1556000.0,1.0143078864590986
0.05,1556666.6666666667,0.9679441739264854
0.05,1557333.3333333333,0.9564210289987892
0.05,1558000.0,0.8947164464827383
0.05,1558666.6666666667,0.9905789228916031
0.05,1559333.3333333333,0.9569448083136844
0.05,1560000.0,1.0025136087095743
0.05,1560666.6666666667,0.9905789228916031
0.05,1561333.3333333333,0.944897884071093
0.05,1562000.0,0.9791993387395842
0.05,1562666.6666666667,0.9675422037545892
0.05,1563333.3333333333,0.978644237073632
0.05,1564000.0,0.9675422037545892
0.05,1564666.6666666667,0.9791993387395841
0.05,1565333.3333333333,0.9564210289987892
0.05,1566000.0,1.0025136087095743
0.05,1566666.6666666667,0.9908564737245793
0.05,1567333.3333333333,1.002513608709574
0.05,1568000.0,0.9907193309600498
0.05,1568666.6666666667,0.9791993387395842
0.05,1569333.3333333333,1.002513608709574
0.05,1570000.0,0.9569448083136844
0.05,1570666.6666666667,0.9558850687695941
0.05,1571333.3333333333,0.9791993387395842
0.05,1572000.0,0.9907193309600498
0.05,1572666.6666666667,0.9679441739264855
0.05,1573333.3333333333,0.9789250532105254
0.05,1574000.0,1.0025136087095743
0.05,1574666.6666666667,0.9791993387395841
0.05,1575333.3333333333,0.9569448083136844
0.05,1576000.0,0.9908564737245793
0.05,1576666.6666666667,1.0025136087095743
0.05,1577333.3333333333,0.9791993387395842
0.05,1578000.0,0.9907193309600499
0.05,1578666.6666666667,0.9569448083136844
0.05,1579333.3333333333,0.9791993387395842
0.05,1580000.0,0.9908564737245793
0.05,1580666.6666666667,0.9675422037545892
0.05,1581333.3333333333,0.9558850687695941
0.05,1582000.0,0.967130775461001
0.05,1582666.6666666667,0.9461926194562275
0.05,1583333.3333333333,0.9671307754610011
0.05,1584000.0,0.9791993387395842
0.05,1584666.6666666667,0.9791993387395842
0.05,1585333.3333333333,0.9675422037545892
0.05,1586000.0,1.0025136087095743
0.05,1586666.6666666667,0.9789250532105256
0.05,1587333.3333333333,0.9907193309600499
0.05,1588000.0,0.978644237073632
0.05,1588666.6666666667,1.0025136087095743
0.05,1589333.3333333333,0.944897884071093
0.05,1590000.0,0.978644237073632
0.05,1590666.6666666667,0.9671307754610011
0.05,1591333.3333333333,0.944227933784599
0.05,1592000.0,0.9907193309600499
0.05,1592666.6666666667,0.944227933784599
0.05,1593333.3333333333,0.9558850687695941
0.05,1594000.0,0.944227933784599
