amplitude [Vpp],frequency [Hz],reflection/transmission
0.05,1550000.0,1.0025136087095743
0.05,1550666.6666666667,1.0025136087095743
0.05,1551333.3333333333,1.0144482945275455
0.05,1552000.0,1.0025136087095743
0.05,1552666.6666666667,1.0383176661634876
0.05,1553333.3333333333,0.9908564737245793
0.05,1554000.0,1.0383176661634876
0.05,1554666.6666666667,1.0143078864590989
0.05,1555333.3333333333,1.0025136087095743
0.05,1556000.0,1.0144482945275455
0.05,1556666.6666666667,1.0025136087095743
0.05,1557333.3333333333,0.9789250532105256
0.05,1558000.0,0.9797292085116293
0.05,1558666.6666666667,0.9908564737245793
0.05,1559333.3333333333,0.9908564737245793
0.05,1560000.0,0.9907193309600499
0.05,1560666.6666666667,0.9907193309600499
0.05,1561333.3333333333,1.0144482945275455
0.05,1562000.0,0.9349284216055581
0.05,1562666.6666666667,0.9907193309600499
0.05,1563333.3333333333,0.9791993387395841
0.05,1564000.0,0.9683370084126569
0.05,1564666.6666666667,0.9675422037545892
0.05,1565333.3333333333,0.9791993387395842
0.05,1566000.0,0.9461926194562275
0.05,1566666.6666666667,0.9791993387395842
0.05,1567333.3333333333,0.9791993387395842
0.05,1568000.0,0.9679441739264855
0.05,1568666.6666666667,0.9794673188541818
0.05,1569333.3333333333,0.9569448083136844
0.05,1570000.0,0.9907193309600498
0.05,1570666.6666666667,0.9905789228916031
0.05,1571333.3333333333,0.9908564737245793
0.05,1572000.0,0.9564210289987892
0.05,1572666.6666666667,0.9791993387395842
0.05,1573333.3333333333,0.9791993387395842
0.05,1574000.0,0.9789250532105256
0.05,1574666.6666666667,0.9789250532105256
0.05,1575333.3333333333,1.0383176661634876
0.05,1576000.0,0.9907193309600499
0.05,1576666.6666666667,0.9791993387395842
0.05,1577333.3333333333,0.9675422037545892
0.05,1578000.0,0.9675422037545892
0.05,1578666.6666666667,0.9558850687695941
0.05,1579333.3333333333,0.9789250532105256
0.05,1580000.0,0.9675422037545892
0.05,1580666.6666666667,0.9675422037545892
0.05,1581333.3333333333,0.944227933784599
0.05,1582000.0,0.9553364977114768
0.05,1582666.6666666667,0.9134012879353899
0.05,1583333.3333333333,0.932570798799604
0.05,1584000.0,0.9227682080167672
0.05,1584666.6666666667,0.932570798799604
0.05,1585333.3333333333,0.9309054938017475
0.05,1586000.0,0.931747942212428
0.05,1586666.6666666667,0.9189708079837764
0.05,1587333.3333333333,0.8975993938446188
0.05,1588000.0,0.9421212226427325
0.05,1588666.6666666667,0.8658072075219049
0.05,1589333.3333333333,0.8845708312143302
0.05,1590000.0,0.908159386713379
0.05,1590666.6666666667,0.8626279888896338
0.05,1591333.3333333333,0.872776553464806
0.05,1592000.0,0.8159994489496536
0.05,1592666.6666666667,0.8138051647171839
0.05,1593333.3333333333,0.8213364505090487
0.05,1594000.0,0.7460566390396832
0.05,1594666.6666666667,0.7041464632602962
0.05,1595333.3333333333,0.6411424241747278
0.05,1596000.0,0.5582178048496492
0.05,1596666.6666666667,0.5129139393397821
0.05,1597333.3333333333,0.4245939989828786
0.05,1598000.0,0.3380569145648564
0.05,1598666.6666666667,0.3656226102352565
0.05,1599333.3333333333,0.3730283195198416
