% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 42.00 s, time offset -19.00 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-14 T 16:16:26 -0500
% Time (s), Channel A (V), Channel B (V)
-5.0029437780e+00, -1.0766668384e-02, -1.4515020846e-02
-5.0000026000e+00, -1.0766668384e-02, -1.0349311798e-02
-4.9970614220e+00, -1.0766668384e-02, -1.3006647435e-02
-4.9941202440e+00, -1.0766668384e-02, -1.2997844794e-02
-4.9911790660e+00, -1.0766668384e-02, -8.5040125232e-03
-4.9882378880e+00, -1.0766668384e-02, -1.4896093375e-02
-4.9852967100e+00, -1.0766668384e-02, -1.1605054641e-02
-4.9823555320e+00, -1.0766668384e-02, -1.1427081143e-02
-4.9794143540e+00, -1.0766668384e-02, -1.2748028517e-02
-4.9764731760e+00, -1.0766668384e-02, -1.2602474501e-02
-4.9735319980e+00, -1.0766668384e-02, -9.7971767435e-03
-4.9705908200e+00, -1.0766668384e-02, -1.4035001295e-02
-4.9676496420e+00, -1.0766668384e-02, -1.1774138458e-02
-4.9647084640e+00, -1.0766668384e-02, -1.5052156015e-02
-4.9617672860e+00, -1.0766668384e-02, -1.0384742863e-02
-4.9588261080e+00, -1.0766668384e-02, -1.0369609516e-02
-4.9558849300e+00, -1.0766668384e-02, -1.1329219220e-02
-4.9529437520e+00, -1.0766668384e-02, -1.4183230339e-02
-4.9500025740e+00, -1.0766668384e-02, -1.1189549105e-02
-4.9470613960e+00, -1.0766668384e-02, -1.2078586813e-02
-4.9441202180e+00, -1.0766668384e-02, -1.3966547272e-02
-4.9411790400e+00, -1.0766668384e-02, -7.0884004937e-03
-4.9382378620e+00, -1.0766668384e-02, -1.5619372192e-02
-4.9352966840e+00, -1.0766668384e-02, -1.2064979567e-02
-4.9323555060e+00, -1.0766668384e-02, -1.1100228703e-02
-4.9294143280e+00, -1.0766668384e-02, -1.3422199392e-02
-4.9264731500e+00, -1.0766668384e-02, -1.1648748698e-02
-4.9235319720e+00, -1.0766668384e-02, -1.1008796131e-02
-4.9205907940e+00, -1.0766668384e-02, -1.3308049392e-02
-4.9176496160e+00, -1.0766668384e-02, -1.1835397178e-02
-4.9147084380e+00, -1.0766668384e-02, -1.1389566922e-02
-4.9117672600e+00, -1.0766668384e-02, -1.3188056109e-02
-4.9088260820e+00, -1.0766668384e-02, -1.0672050150e-02
-4.9058849040e+00, -1.0766668384e-02, -1.1844838112e-02
-4.9029437260e+00, -1.0766668384e-02, -1.3842300637e-02
-4.9000025480e+00, -1.0766668384e-02, -1.1077018048e-02
-4.8970613700e+00, -1.0766668384e-02, -1.2374220922e-02
-4.8941201920e+00, -1.0766668384e-02, -1.3194125695e-02
-4.8911790140e+00, -1.0766668384e-02, -8.2614669839e-03
-4.8882378360e+00, -1.0766668384e-02, -1.4710176031e-02
-4.8852966580e+00, -1.0766668384e-02, -1.2910416060e-02
-4.8823554800e+00, -1.0766668384e-02, -9.7968401890e-03
-4.8794143020e+00, -1.0766668384e-02, -1.4019067181e-02
-4.8764731240e+00, -1.0766668384e-02, -1.1814054981e-02
-4.8735319460e+00, -1.0766668384e-02, -1.0431535543e-02
-4.8705907680e+00, -1.0766668384e-02, -1.4350840279e-02
-4.8676495900e+00, -1.0766668384e-02, -1.1086226875e-02
-4.8647084120e+00, -1.0766668384e-02, -1.2363439573e-02
-4.8617672340e+00, -1.0766668384e-02, -1.4805014766e-02
-4.8588260560e+00, -1.0766668384e-02, -8.9939082073e-03
-4.8558848780e+00, -1.0766668384e-02, -1.1235796334e-02
-4.8529437000e+00, -1.0766668384e-02, -1.3988104167e-02
-4.8500025220e+00, -1.0766668384e-02, -1.0790761043e-02
-4.8470613440e+00, -1.0766668384e-02, -1.2638973256e-02
-4.8441201660e+00, -1.0766668384e-02, -1.3183640282e-02
-4.8411789880e+00, -1.0766668384e-02, -8.5409174642e-03
-4.8382378100e+00, -1.0766668384e-02, -1.4247158285e-02
-4.8352966320e+00, -1.0766668384e-02, -1.2832602340e-02
-4.8323554540e+00, -1.0766668384e-02, -1.0817482310e-02
-4.8294142760e+00, -1.0766668384e-02, -1.3037152038e-02
-4.8264730980e+00, -1.0766668384e-02, -1.2663524326e-02
-4.8235319200e+00, -1.0766668384e-02, -9.1765992706e-03
-4.8205907420e+00, -1.0766668384e-02, -1.4906230628e-02
-4.8176495640e+00, -1.0766668384e-02, -1.0913719487e-02
-4.8147083860e+00, -1.0766668384e-02, -1.2232751982e-02
-4.8117672080e+00, -1.0766668384e-02, -1.3215299615e-02
-4.8088260300e+00, -1.0766668384e-02, -1.0423243536e-02
