% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 42.00 s, time offset -19.00 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 30.00 mV, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-15 T 14:55:39 -0500
% Time (s), Channel A (V), Channel B (V)
-5.0029437780e+00, -1.9433335373e-02, -1.2620903761e-02
-5.0000026000e+00, -1.9433335373e-02, -1.0864820440e-02
-4.9970614220e+00, -1.9433335373e-02, -1.2937926489e-02
-4.9941202440e+00, -1.9433335373e-02, -1.2389888114e-02
-4.9911790660e+00, -1.9433335373e-02, -1.2119437565e-02
-4.9882378880e+00, -1.9433335373e-02, -1.2150412184e-02
-4.9852967100e+00, -1.9433335373e-02, -1.2618037245e-02
-4.9823555320e+00, -1.9433335373e-02, -1.0729873693e-02
-4.9794143540e+00, -1.9433335373e-02, -1.2789749669e-02
-4.9764731760e+00, -1.9433335373e-02, -1.2372027516e-02
-4.9735319980e+00, -1.9433335373e-02, -1.1332248210e-02
-4.9705908200e+00, -1.9433335373e-02, -1.3149352342e-02
-4.9676496420e+00, -1.9433335373e-02, -1.1787954600e-02
-4.9647084640e+00, -1.9433335373e-02, -1.1789689596e-02
-4.9617672860e+00, -1.9433335373e-02, -1.2588269580e-02
-4.9588261080e+00, -1.9433335373e-02, -1.1312124573e-02
-4.9558849300e+00, -1.9433335373e-02, -1.2536788348e-02
-4.9529437520e+00, -1.9433335373e-02, -1.2425174112e-02
-4.9500025740e+00, -1.9433335373e-02, -1.1034728235e-02
-4.9470613960e+00, -1.9433335373e-02, -1.2822418665e-02
-4.9441202180e+00, -1.9433335373e-02, -1.2313594692e-02
-4.9411790400e+00, -1.9433335373e-02, -1.1625015804e-02
-4.9382378620e+00, -1.9433335373e-02, -1.2682342364e-02
-4.9352966840e+00, -1.9433335373e-02, -1.2536063015e-02
-4.9323555060e+00, -1.9433335373e-02, -1.0816942662e-02
-4.9294143280e+00, -1.9433335373e-02, -1.2764705372e-02
-4.9264731500e+00, -1.9433335373e-02, -1.2291347280e-02
-4.9235319720e+00, -1.9433335373e-02, -1.1804033781e-02
-4.9205907940e+00, -1.9433335373e-02, -1.2563184665e-02
-4.9176496160e+00, -1.9433335373e-02, -1.2009041889e-02
-4.9147084380e+00, -1.9433335373e-02, -1.1312112967e-02
-4.9117672600e+00, -1.9433335373e-02, -1.3192460331e-02
-4.9088260820e+00, -1.9433335373e-02, -1.1504123108e-02
-4.9058849040e+00, -1.9433335373e-02, -1.2469872031e-02
-4.9029437260e+00, -1.9433335373e-02, -1.2683404251e-02
-4.9000025480e+00, -1.9433335373e-02, -1.0651444891e-02
-4.8970613700e+00, -1.9433335373e-02, -1.3002945335e-02
-4.8941201920e+00, -1.9433335373e-02, -1.2300991307e-02
-4.8911790140e+00, -1.9433335373e-02, -1.2215042252e-02
-4.8882378360e+00, -1.9433335373e-02, -1.2298229239e-02
-4.8852966580e+00, -1.9433335373e-02, -1.2105801306e-02
-4.8823554800e+00, -1.9433335373e-02, -1.0912054122e-02
-4.8794143020e+00, -1.9433335373e-02, -1.2968825673e-02
-4.8764731240e+00, -1.9433335373e-02, -1.2180081204e-02
-4.8735319460e+00, -1.9433335373e-02, -1.1740227691e-02
-4.8705907680e+00, -1.9433335373e-02, -1.2553633481e-02
-4.8676495900e+00, -1.9433335373e-02, -1.1993293460e-02
-4.8647084120e+00, -1.9433335373e-02, -1.1595747168e-02
