% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 41.00 s, time offset -17.00 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 50.00 mV, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-14 T 15:05:55 -0500
% Time (s), Channel A (V), Channel B (V)
-6.4342471500e+00, 0.0000000000e+00, -7.0683395271e-03
-6.4313760000e+00, 0.0000000000e+00, -1.5422479072e-02
-6.4285048500e+00, 0.0000000000e+00, -1.3925190654e-02
-6.4256337000e+00, 0.0000000000e+00, -4.0940858828e-03
-6.4227625500e+00, 0.0000000000e+00, -1.8736419501e-02
-6.4198914000e+00, 0.0000000000e+00, -1.1533628300e-02
-6.4170202500e+00, 0.0000000000e+00, -1.0668528457e-02
-6.4141491000e+00, 0.0000000000e+00, -1.3147107835e-02
-6.4112779500e+00, 0.0000000000e+00, -1.4117818134e-02
-6.4084068000e+00, 0.0000000000e+00, -1.3465288534e-02
-6.4055356500e+00, 0.0000000000e+00, -1.3535174397e-02
-6.4026645000e+00, 0.0000000000e+00, -9.5433048366e-03
-6.3997933500e+00, 0.0000000000e+00, -1.0658464940e-02
-6.3969222000e+00, 0.0000000000e+00, -1.3392882334e-02
-6.3940510500e+00, 0.0000000000e+00, -1.7682597513e-02
-6.3911799000e+00, 0.0000000000e+00, -3.0214505273e-03
-6.3883087500e+00, 0.0000000000e+00, -1.5479840523e-02
-6.3854376000e+00, 0.0000000000e+00, -1.1280286845e-02
-6.3825664500e+00, 0.0000000000e+00, -1.1078766854e-02
-6.3796953000e+00, 0.0000000000e+00, -1.5610915896e-02
-6.3768241500e+00, 0.0000000000e+00, -7.9695919445e-03
-6.3739530000e+00, 0.0000000000e+00, -1.0810053720e-02
-6.3710818500e+00, 0.0000000000e+00, -1.7340307172e-02
-6.3682107000e+00, 0.0000000000e+00, -7.0670020840e-03
-6.3653395500e+00, 0.0000000000e+00, -1.4863421889e-02
-6.3624684000e+00, 0.0000000000e+00, -1.3369117455e-02
-6.3595972500e+00, 0.0000000000e+00, -1.2221935990e-02
-6.3567261000e+00, 0.0000000000e+00, -1.9153832538e-02
-6.3538549500e+00, 0.0000000000e+00, -6.0261443779e-03
-6.3509838000e+00, 0.0000000000e+00, -9.9244999129e-03
-6.3481126500e+00, 0.0000000000e+00, -1.3298649061e-02
-6.3452415000e+00, 0.0000000000e+00, -1.3251957434e-02
-6.3423703500e+00, 0.0000000000e+00, -3.0764343015e-03
-6.3394992000e+00, 0.0000000000e+00, -1.8139610756e-02
-6.3366280500e+00, 0.0000000000e+00, -1.3222628792e-02
-6.3337569000e+00, 0.0000000000e+00, -9.7610524708e-03
-6.3308857500e+00, 0.0000000000e+00, -1.3956754312e-02
-6.3280146000e+00, 0.0000000000e+00, -1.3556561599e-02
-6.3251434500e+00, 0.0000000000e+00, -4.9775473340e-03
-6.3222723000e+00, 0.0000000000e+00, -1.7902437503e-02
-6.3194011500e+00, 0.0000000000e+00, -1.3402933962e-02
-6.3165300000e+00, 0.0000000000e+00, -7.8129981555e-03
-6.3136588500e+00, 0.0000000000e+00, -1.6121331758e-02
-6.3107877000e+00, 0.0000000000e+00, -1.0730038954e-02
-6.3079165500e+00, 0.0000000000e+00, -8.4530627850e-03
-6.3050454000e+00, 0.0000000000e+00, -1.8203487041e-02
-6.3021742500e+00, 0.0000000000e+00, -9.1772139517e-03
-6.2993031000e+00, 0.0000000000e+00, -1.5032385541e-02
-6.2964319500e+00, 0.0000000000e+00, -1.1465406810e-02
-6.2935608000e+00, 0.0000000000e+00, -9.9676963547e-03
-6.2906896500e+00, 0.0000000000e+00, -1.6346741456e-02
-6.2878185000e+00, 0.0000000000e+00, -1.1122480441e-02
-6.2849473500e+00, 0.0000000000e+00, -8.5960622072e-03
-6.2820762000e+00, 0.0000000000e+00, -1.3264541288e-02
-6.2792050500e+00, 0.0000000000e+00, -1.4696063168e-02
-6.2763339000e+00, 0.0000000000e+00, -5.9042884459e-03
-6.2734627500e+00, 0.0000000000e+00, -1.4218661348e-02
-6.2705916000e+00, 0.0000000000e+00, -1.5221184961e-02
-6.2677204500e+00, 0.0000000000e+00, -9.4639260992e-03
-6.2648493000e+00, 0.0000000000e+00, -1.2557794715e-02
-6.2619781500e+00, 0.0000000000e+00, -1.5575684672e-02
-6.2591070000e+00, 0.0000000000e+00, -2.9826943967e-03
-6.2562358500e+00, 0.0000000000e+00, -1.8317027048e-02
-6.2533647000e+00, 0.0000000000e+00, -1.4074526585e-02
-6.2504935500e+00, 0.0000000000e+00, -8.5118092326e-03
-6.2476224000e+00, 0.0000000000e+00, -1.7261927059e-02
-6.2447512500e+00, 0.0000000000e+00, -9.7423104340e-03
-6.2418801000e+00, 0.0000000000e+00, -6.3194783551e-03
-6.2390089500e+00, 0.0000000000e+00, -1.8142458024e-02
-6.2361378000e+00, 0.0000000000e+00, -1.1275977306e-02
-6.2332666500e+00, 0.0000000000e+00, -1.0433899318e-02
-6.2303955000e+00, 0.0000000000e+00, -1.4461350811e-02
-6.2275243500e+00, 0.0000000000e+00, -1.2362415075e-02
-6.2246532000e+00, 0.0000000000e+00, -6.9230753678e-03
-6.2217820500e+00, 0.0000000000e+00, -1.7291606408e-02
-6.2189109000e+00, 0.0000000000e+00, -1.0488134124e-02
-6.2160397500e+00, 0.0000000000e+00, -1.2403334891e-02
-6.2131686000e+00, 0.0000000000e+00, -1.3602676639e-02
-6.2102974500e+00, 0.0000000000e+00, -1.0257338989e-02
-6.2074263000e+00, 0.0000000000e+00, -9.2174382976e-03
-6.2045551500e+00, 0.0000000000e+00, -1.7409681835e-02
-6.2016840000e+00, 0.0000000000e+00, -9.6476789005e-03
-6.1988128500e+00, 0.0000000000e+00, -1.2719607505e-02
-6.1959417000e+00, 0.0000000000e+00, -1.6935121338e-02
-6.1930705500e+00, 0.0000000000e+00, -7.1157028474e-03
-6.1901994000e+00, 0.0000000000e+00, -1.8201685951e-02
-6.1873282500e+00, 0.0000000000e+00, -1.4457005606e-02
-6.1844571000e+00, 0.0000000000e+00, -6.0378128264e-03
-6.1815859500e+00, 0.0000000000e+00, -1.4824826251e-02
-6.1787148000e+00, 0.0000000000e+00, -1.1833037241e-02
-6.1758436500e+00, 0.0000000000e+00, -4.4974706271e-03
-6.1729725000e+00, 0.0000000000e+00, -1.8988043085e-02
-6.1701013500e+00, 0.0000000000e+00, -1.2942413646e-02
-6.1672302000e+00, 0.0000000000e+00, -7.9379807324e-03
-6.1643590500e+00, 0.0000000000e+00, -1.4179209747e-02
-6.1614879000e+00, 0.0000000000e+00, -1.3573157783e-02
-6.1586167500e+00, 0.0000000000e+00, -5.7869263228e-03
-6.1557456000e+00, 0.0000000000e+00, -1.7065768729e-02
-6.1528744500e+00, 0.0000000000e+00, -1.2323462786e-02
-6.1500033000e+00, 0.0000000000e+00, -1.0578575002e-02
-6.1471321500e+00, 0.0000000000e+00, -1.5931135453e-02
-6.1442610000e+00, 0.0000000000e+00, -1.2035413195e-02
-6.1413898500e+00, 0.0000000000e+00, -4.7199973915e-03
-6.1385187000e+00, 0.0000000000e+00, -1.8553267063e-02
-6.1356475500e+00, 0.0000000000e+00, -1.1726154728e-02
-6.1327764000e+00, 0.0000000000e+00, -1.0467828765e-02
-6.1299052500e+00, 0.0000000000e+00, -1.6571538902e-02
-6.1270341000e+00, 0.0000000000e+00, -8.7063804629e-03
-6.1241629500e+00, 0.0000000000e+00, -7.8490318463e-03
-6.1212918000e+00, 0.0000000000e+00, -1.5523583830e-02
-6.1184206500e+00, 0.0000000000e+00, -9.2590595286e-03
-6.1155495000e+00, 0.0000000000e+00, -1.3323472006e-02
-6.1126783500e+00, 0.0000000000e+00, -1.3977790807e-02
-6.1098072000e+00, 0.0000000000e+00, -7.5941805668e-03
-6.1069360500e+00, 0.0000000000e+00, -1.3381998518e-02
-6.1040649000e+00, 0.0000000000e+00, -1.4945552787e-02
-6.1011937500e+00, 0.0000000000e+00, -8.5907599881e-03
-6.0983226000e+00, 0.0000000000e+00, -1.5027558857e-02
-6.0954514500e+00, 0.0000000000e+00, -1.4057835294e-02
-6.0925803000e+00, 0.0000000000e+00, -4.4232157830e-03
-6.0897091500e+00, 0.0000000000e+00, -1.7117007663e-02
-6.0868380000e+00, 0.0000000000e+00, -2.0111941150e-02
-6.0839668500e+00, 0.0000000000e+00, -4.3998491650e-03
-6.0810957000e+00, 0.0000000000e+00, -1.1701557662e-02
-6.0782245500e+00, 0.0000000000e+00, -1.4950272475e-02
-6.0753534000e+00, 0.0000000000e+00, -2.4923580147e-03
-6.0724822500e+00, 0.0000000000e+00, -1.9900054489e-02
-6.0696111000e+00, 0.0000000000e+00, -1.2176201378e-02
-6.0667399500e+00, 0.0000000000e+00, -9.1944639963e-03
-6.0638688000e+00, 0.0000000000e+00, -1.5421682550e-02
-6.0609976500e+00, 0.0000000000e+00, -1.1087439430e-02
-6.0581265000e+00, 0.0000000000e+00, -8.7522280143e-03
-6.0552553500e+00, 0.0000000000e+00, -1.6536652440e-02
-6.0523842000e+00, 0.0000000000e+00, -1.0958949780e-02
-6.0495130500e+00, 0.0000000000e+00, -1.1417401517e-02
-6.0466419000e+00, 0.0000000000e+00, -1.6176975338e-02
-6.0437707500e+00, 0.0000000000e+00, -9.2718217084e-03
-6.0408996000e+00, 0.0000000000e+00, -8.8651795470e-03
-6.0380284500e+00, 0.0000000000e+00, -1.6767352468e-02
-6.0351573000e+00, 0.0000000000e+00, -9.5748268857e-03
-6.0322861500e+00, 0.0000000000e+00, -1.2849535649e-02
-6.0294150000e+00, 0.0000000000e+00, -1.3730435154e-02
-6.0265438500e+00, 0.0000000000e+00, -8.1025635151e-03
-6.0236727000e+00, 0.0000000000e+00, -1.1631451864e-02
-6.0208015500e+00, 0.0000000000e+00, -1.7088439877e-02
-6.0179304000e+00, 0.0000000000e+00, -8.2262621466e-03
-6.0150592500e+00, 0.0000000000e+00, -1.3525639913e-02
-6.0121881000e+00, 0.0000000000e+00, -1.5317480868e-02
-6.0093169500e+00, 0.0000000000e+00, -2.6600377213e-03
-6.0064458000e+00, 0.0000000000e+00, -1.8330680857e-02
-6.0035746500e+00, 0.0000000000e+00, -1.3394225721e-02
-6.0007035000e+00, 0.0000000000e+00, -8.9358500434e-03
-5.9978323500e+00, 0.0000000000e+00, -1.4820082786e-02
-5.9949612000e+00, 0.0000000000e+00, -1.3818563741e-02
-5.9920900500e+00, 0.0000000000e+00, -4.4207429992e-03
-5.9892189000e+00, 0.0000000000e+00, -1.9226470562e-02
-5.9863477500e+00, 0.0000000000e+00, -1.1192586239e-02
-5.9834766000e+00, 0.0000000000e+00, -1.5203911139e-02
-5.9806054500e+00, 0.0000000000e+00, -9.8984821853e-03
-5.9777343000e+00, 0.0000000000e+00, -1.1171959894e-02
-5.9748631500e+00, 0.0000000000e+00, -8.1168117429e-03
-5.9719920000e+00, 0.0000000000e+00, -1.5646491884e-02
-5.9691208500e+00, 0.0000000000e+00, -1.2667310505e-02
-5.9662497000e+00, 0.0000000000e+00, -1.1001207040e-02
-5.9633785500e+00, 0.0000000000e+00, -1.3892194445e-02
-5.9605074000e+00, 0.0000000000e+00, -1.1599757434e-02
-5.9576362500e+00, 0.0000000000e+00, -6.7287597376e-03
-5.9547651000e+00, 0.0000000000e+00, -1.9071350933e-02
-5.9518939500e+00, 0.0000000000e+00, -8.6506655531e-03
-5.9490228000e+00, 0.0000000000e+00, -1.3226789726e-02
-5.9461516500e+00, 0.0000000000e+00, -1.6081725608e-02
-5.9432805000e+00, 0.0000000000e+00, -6.0444703212e-03
-5.9404093500e+00, 0.0000000000e+00, -1.3470947405e-02
-5.9375382000e+00, 0.0000000000e+00, -1.5104399424e-02
-5.9346670500e+00, 0.0000000000e+00, -8.2257866113e-03
-5.9317959000e+00, 0.0000000000e+00, -1.3742186821e-02
-5.9289247500e+00, 0.0000000000e+00, -1.5154449519e-02
-5.9260536000e+00, 0.0000000000e+00, -3.7117079123e-03
-5.9231824500e+00, 0.0000000000e+00, -1.7538962062e-02
-5.9203113000e+00, 0.0000000000e+00, -1.3533617019e-02
-5.9174401500e+00, 0.0000000000e+00, -9.1064424040e-03
-5.9145690000e+00, 0.0000000000e+00, -1.3939230835e-02
-5.9116978500e+00, 0.0000000000e+00, -1.3729674297e-02
-5.9088267000e+00, 0.0000000000e+00, -5.1502855479e-03
-5.9059555500e+00, 0.0000000000e+00, -1.6318500601e-02
-5.9030844000e+00, 0.0000000000e+00, -1.4502972042e-02
-5.9002132500e+00, 0.0000000000e+00, -8.8197302565e-03
-5.8973421000e+00, 0.0000000000e+00, -1.5327764320e-02
-5.8944709500e+00, 0.0000000000e+00, -1.3314508165e-02
-5.8915998000e+00, 0.0000000000e+00, -4.7470375200e-03
-5.8887286500e+00, 0.0000000000e+00, -1.9450257495e-02
-5.8858575000e+00, 0.0000000000e+00, -1.0204298965e-02
-5.8829863500e+00, 0.0000000000e+00, -1.3129055325e-02
-5.8801152000e+00, 0.0000000000e+00, -1.5140902706e-02
-5.8772440500e+00, 0.0000000000e+00, -7.9129378524e-03
-5.8743729000e+00, 0.0000000000e+00, -8.2847232730e-03
-5.8715017500e+00, 0.0000000000e+00, -1.7940331725e-02
-5.8686306000e+00, 0.0000000000e+00, -9.2940886509e-03
-5.8657594500e+00, 0.0000000000e+00, -1.2861239763e-02
-5.8628883000e+00, 0.0000000000e+00, -1.3856778950e-02
-5.8600171500e+00, 0.0000000000e+00, -7.6342503638e-03
-5.8571460000e+00, 0.0000000000e+00, -1.3384839842e-02
-5.8542748500e+00, 0.0000000000e+00, -1.4131870203e-02
-5.8514037000e+00, 0.0000000000e+00, -1.0175386416e-02
-5.8485325500e+00, 0.0000000000e+00, -1.3165564551e-02
-5.8456614000e+00, 0.0000000000e+00, -1.6301803366e-02
-5.8427902500e+00, 0.0000000000e+00, -5.4480836132e-03
-5.8399191000e+00, 0.0000000000e+00, -1.3817903936e-02
-5.8370479500e+00, 0.0000000000e+00, -1.5271122116e-02
-5.8341768000e+00, 0.0000000000e+00, -7.4548071015e-03
-5.8313056500e+00, 0.0000000000e+00, -1.5103151144e-02
-5.8284345000e+00, 0.0000000000e+00, -1.3992829613e-02
-5.8255633500e+00, 0.0000000000e+00, -3.4266185291e-03
-5.8226922000e+00, 0.0000000000e+00, -1.9298163459e-02
-5.8198210500e+00, 0.0000000000e+00, -1.3586978029e-02
