% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 42.00 s, time offset -19.00 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 30.00 mV, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-14 T 16:13:02 -0500
% Time (s), Channel A (V), Channel B (V)
-5.0029437780e+00, 9.5999964289e-03, -1.2840708661e-02
-5.0000026000e+00, 9.5999964289e-03, -1.0871296213e-02
-4.9970614220e+00, 9.5999964289e-03, -1.1977655281e-02
-4.9941202440e+00, 9.5999964289e-03, -1.3000374755e-02
-4.9911790660e+00, 9.5999964289e-03, -1.1136576588e-02
-4.9882378880e+00, 9.5999964289e-03, -1.3176549427e-02
-4.9852967100e+00, 9.5999964289e-03, -1.2637360115e-02
-4.9823555320e+00, 9.5999964289e-03, -8.9570032662e-03
-4.9794143540e+00, 9.5999964289e-03, -1.4203719544e-02
-4.9764731760e+00, 9.5999964289e-03, -1.2401209111e-02
-4.9735319980e+00, 9.5999964289e-03, -1.1460121510e-02
-4.9705908200e+00, 9.5999964289e-03, -1.2661278695e-02
-4.9676496420e+00, 9.5999964289e-03, -1.2633135776e-02
-4.9647084640e+00, 9.5999964289e-03, -1.1826234772e-02
-4.9617672860e+00, 9.5999964289e-03, -1.2622395045e-02
-4.9588261080e+00, 9.5999964289e-03, -1.1604137820e-02
-4.9558849300e+00, 9.5999964289e-03, -1.1540088018e-02
-4.9529437520e+00, 9.5999964289e-03, -1.3188682797e-02
-4.9500025740e+00, 9.5999964289e-03, -1.0123640405e-02
-4.9470613960e+00, 9.5999964289e-03, -1.2801859828e-02
-4.9441202180e+00, 9.5999964289e-03, -1.3031871614e-02
-4.9411790400e+00, 9.5999964289e-03, -1.0997010921e-02
-4.9382378620e+00, 9.5999964289e-03, -1.3078565648e-02
-4.9352966840e+00, 9.5999964289e-03, -1.2402056300e-02
-4.9323555060e+00, 9.5999964289e-03, -9.5955051672e-03
-4.9294143280e+00, 9.5999964289e-03, -1.4214437064e-02
-4.9264731500e+00, 9.5999964289e-03, -1.2500794425e-02
-4.9235319720e+00, 9.5999964289e-03, -1.0994747882e-02
-4.9205907940e+00, 9.5999964289e-03, -1.2800693492e-02
-4.9176496160e+00, 9.5999964289e-03, -1.2107455065e-02
-4.9147084380e+00, 9.5999964289e-03, -1.1173173988e-02
-4.9117672600e+00, 9.5999964289e-03, -1.3126240333e-02
-4.9088260820e+00, 9.5999964289e-03, -1.2287169362e-02
-4.9058849040e+00, 9.5999964289e-03, -1.1454266622e-02
-4.9029437260e+00, 9.5999964289e-03, -1.3174727391e-02
-4.9000025480e+00, 9.5999964289e-03, -1.1005540837e-02
-4.8970613700e+00, 9.5999964289e-03, -1.1752024506e-02
-4.8941201920e+00, 9.5999964289e-03, -1.3707597602e-02
-4.8911790140e+00, 9.5999964289e-03, -1.0059654433e-02
-4.8882378360e+00, 9.5999964289e-03, -1.3994307215e-02
-4.8852966580e+00, 9.5999964289e-03, -1.2299412982e-02
-4.8823554800e+00, 9.5999964289e-03, -9.2477805460e-03
-4.8794143020e+00, 9.5999964289e-03, -1.4283761487e-02
-4.8764731240e+00, 9.5999964289e-03, -1.2185988315e-02
-4.8735319460e+00, 9.5999964289e-03, -1.1598961844e-02
-4.8705907680e+00, 9.5999964289e-03, -1.2916328974e-02
-4.8676495900e+00, 9.5999964289e-03, -1.2228452208e-02
-4.8647084120e+00, 9.5999964289e-03, -1.1663348200e-02
-4.8617672340e+00, 9.5999964289e-03, -1.3486986132e-02
-4.8588260560e+00, 9.5999964289e-03, -1.1005854181e-02
-4.8558848780e+00, 9.5999964289e-03, -1.1951218345e-02
-4.8529437000e+00, 9.5999964289e-03, -1.2451222269e-02
