% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 41.00 s, time offset -13.97 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 50.00 mV, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-08 T 16:44:59 -0600
% Time (s), Channel A (V), Channel B (V)
-9.4575681000e+00, 0.0000000000e+00, -1.5429516995e-02
-9.4546969500e+00, 0.0000000000e+00, -8.6972085750e-03
-9.4518258000e+00, 0.0000000000e+00, -1.4421257237e-02
-9.4489546500e+00, 0.0000000000e+00, -1.3058842531e-02
-9.4460835000e+00, 0.0000000000e+00, -3.6422381427e-03
-9.4432123500e+00, 0.0000000000e+00, -1.9775172963e-02
-9.4403412000e+00, 0.0000000000e+00, -1.3871728593e-02
-9.4374700500e+00, 0.0000000000e+00, -1.0899228485e-02
-9.4345989000e+00, 0.0000000000e+00, -1.4426369242e-02
-9.4317277500e+00, 0.0000000000e+00, -1.0865114768e-02
-9.4288566000e+00, 0.0000000000e+00, -7.9164984233e-03
-9.4259854500e+00, 0.0000000000e+00, -1.5186916695e-02
-9.4231143000e+00, 0.0000000000e+00, -1.6066871073e-02
-9.4202431500e+00, 0.0000000000e+00, -8.9800510537e-03
-9.4173720000e+00, 0.0000000000e+00, -1.3716347419e-02
-9.4145008500e+00, 0.0000000000e+00, -1.2335523551e-02
-9.4116297000e+00, 0.0000000000e+00, -6.3854826609e-03
-9.4087585500e+00, 0.0000000000e+00, -2.2137032191e-02
-9.4058874000e+00, 0.0000000000e+00, -1.0469398031e-02
-9.4030162500e+00, 0.0000000000e+00, -9.9708408322e-03
-9.4001451000e+00, 0.0000000000e+00, -1.2835774845e-02
