frequency [Hz],input_power[dBm]
625000000.0,-3.474747474747475
650000000.0,-3.282828282828283
675000000.0,-1.9393939393939394
700000000.0,-3.282828282828283
725000000.0,-1.5555555555555554
750000000.0,-1.7474747474747474
775000000.0,-3.858585858585859
800000000.0,-2.7070707070707076
825000000.0,-4.050505050505051
850000000.0,-3.282828282828283
875000000.0,-1.9393939393939394
900000000.0,-2.5151515151515156
925000000.0,-2.7070707070707076
950000000.0,-2.0
975000000.0,-1.55555555555555554
1000000000.0,-1.5555555555555554
1025000000.0,-1.9393939393939394
1050000000.0,1.1313131313131297
1075000000.0,-0.979797979797981
1100000000.0,-0.21212121212121282
1125000000.0,0.3636363636363633
1150000000.0,0.9393939393939394
1175000000.0,7.0808080808080796
1200000000.0,7.464646464646464
1225000000.0,7.464646464646464
1250000000.0,2.474747474747474
1275000000.0,3.05050505050505
1300000000.0,1.7070707070707059
1325000000.0,0.7474747474747474
1350000000.0,-0.40404040404040487
1375000000.0,-1.363636363636365
1400000000.0,1.7070707070707059
1425000000.0,0.9393939393939394
1450000000.0,0.9393939393939394
1475000000.0,2.666666666666666
1500000000.0,3.8181818181818166
1525000000.0,2.858585858585858
1550000000.0,0.3636363636363633
1575000000.0,-0.979797979797981
1600000000.0,-0.979797979797981
1625000000.0,8.040404040404038
