% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 12.41 s, time offset -6.516 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 54.70 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-06 T 11:15:00 -0600
% Time (s), Channel A (V), Channel B (V)
-5.7434951000e-01, -4.3333333815e-04, -2.6666666963e-04
-5.7348060000e-01, -5.0000000556e-04, 0.0000000000e+00
-5.7261169000e-01, -5.3333333926e-04, 1.0666666785e-03
-5.7174278000e-01, -5.6666667297e-04, 1.8666666874e-03
-5.7087387000e-01, -6.0000000667e-04, 8.0000000889e-04
-5.7000496000e-01, -6.6666667408e-04, -1.3333333482e-03
-5.6913605000e-01, -6.6666667408e-04, 5.3333333926e-04
-5.6826714000e-01, -7.3333334149e-04, -5.3333333926e-04
-5.6739823000e-01, -7.6666667519e-04, -1.0666666785e-03
-5.6652932000e-01, -8.0000000889e-04, 2.6666666963e-04
-5.6566041000e-01, -8.3333334260e-04, 2.6666666963e-04
-5.6479150000e-01, -8.6666667630e-04, -1.3333333482e-03
-5.6392259000e-01, -9.0000001001e-04, 0.0000000000e+00
-5.6305368000e-01, -9.3333334371e-04, 5.3333333926e-04
-5.6218477000e-01, -9.6666667741e-04, 0.0000000000e+00
-5.6131586000e-01, -1.0000000111e-03, 8.0000000889e-04
-5.6044695000e-01, -1.0333333448e-03, 5.3333333926e-04
-5.5957804000e-01, -1.1000000122e-03, -5.3333333926e-04
-5.5870913000e-01, -1.1000000122e-03, -8.0000000889e-04
-5.5784022000e-01, -1.1333333459e-03, -2.6666666963e-04
-5.5697131000e-01, -1.1666666796e-03, 2.6666666963e-04
