% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 42.00 s, time offset -19.00 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 30.00 mV, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-15 T 14:58:28 -0500
% Time (s), Channel A (V), Channel B (V)
-5.0029437780e+00, -2.6566671694e-02, -1.2441462189e-02
-5.0000026000e+00, -2.6566671694e-02, -1.1980597231e-02
-4.9970614220e+00, -2.6566671694e-02, -1.1911678995e-02
-4.9941202440e+00, -2.6566671694e-02, -1.2208125477e-02
-4.9911790660e+00, -2.6566671694e-02, -1.2370576850e-02
-4.9882378880e+00, -2.6566671694e-02, -1.1934413831e-02
-4.9852967100e+00, -2.6566671694e-02, -1.2457297658e-02
-4.9823555320e+00, -2.6566671694e-02, -1.1860830253e-02
-4.9794143540e+00, -2.6566671694e-02, -1.1900601710e-02
-4.9764731760e+00, -2.6566671694e-02, -1.2696947668e-02
-4.9735319980e+00, -2.6566671694e-02, -1.1814786117e-02
-4.9705908200e+00, -2.6566671694e-02, -1.2221761737e-02
-4.9676496420e+00, -2.6566671694e-02, -1.2352925147e-02
-4.9647084640e+00, -2.6566671694e-02, -1.1487492674e-02
-4.9617672860e+00, -2.6566671694e-02, -1.2598847836e-02
-4.9588261080e+00, -2.6566671694e-02, -1.2372456913e-02
-4.9558849300e+00, -2.6566671694e-02, -1.1745873683e-02
-4.9529437520e+00, -2.6566671694e-02, -1.2528043734e-02
-4.9500025740e+00, -2.6566671694e-02, -1.1981102063e-02
-4.9470613960e+00, -2.6566671694e-02, -1.1906207083e-02
-4.9441202180e+00, -2.6566671694e-02, -1.2473870066e-02
-4.9411790400e+00, -2.6566671694e-02, -1.2110785794e-02
-4.9382378620e+00, -2.6566671694e-02, -1.2055033801e-02
-4.9352966840e+00, -2.6566671694e-02, -1.2301385888e-02
-4.9323555060e+00, -2.6566671694e-02, -1.2067892504e-02
-4.9294143280e+00, -2.6566671694e-02, -1.1837544164e-02
-4.9264731500e+00, -2.6566671694e-02, -1.2601435824e-02
-4.9235319720e+00, -2.6566671694e-02, -1.1858555609e-02
-4.9205907940e+00, -2.6566671694e-02, -1.2207846949e-02
-4.9176496160e+00, -2.6566671694e-02, -1.2474844913e-02
-4.9147084380e+00, -2.6566671694e-02, -1.1472545013e-02
-4.9117672600e+00, -2.6566671694e-02, -1.2631882401e-02
-4.9088260820e+00, -2.6566671694e-02, -1.2321132352e-02
-4.9058849040e+00, -2.6566671694e-02, -1.2119901779e-02
-4.9029437260e+00, -2.6566671694e-02, -1.2118126163e-02
-4.9000025480e+00, -2.6566671694e-02, -1.2146013765e-02
-4.8970613700e+00, -2.6566671694e-02, -1.1726980210e-02
-4.8941201920e+00, -2.6566671694e-02, -1.2507484897e-02
-4.8911790140e+00, -2.6566671694e-02, -1.2115387306e-02
-4.8882378360e+00, -2.6566671694e-02, -1.2060140145e-02
-4.8852966580e+00, -2.6566671694e-02, -1.2500376634e-02
-4.8823554800e+00, -2.6566671694e-02, -1.1726191048e-02
-4.8794143020e+00, -2.6566671694e-02, -1.2099447389e-02
-4.8764731240e+00, -2.6566671694e-02, -1.2415083280e-02
-4.8735319460e+00, -2.6566671694e-02, -1.1965957111e-02
-4.8705907680e+00, -2.6566671694e-02, -1.2188553093e-02
-4.8676495900e+00, -2.6566671694e-02, -1.2408978878e-02
-4.8647084120e+00, -2.6566671694e-02, -1.1451487146e-02
-4.8617672340e+00, -2.6566671694e-02, -1.2571174933e-02
-4.8588260560e+00, -2.6566671694e-02, -1.2475227889e-02
-4.8558848780e+00, -2.6566671694e-02, -1.1847333257e-02
-4.8529437000e+00, -2.6566671694e-02, -1.2396874521e-02
-4.8500025220e+00, -2.6566671694e-02, -1.2061846128e-02
-4.8470613440e+00, -2.6566671694e-02, -1.1793687632e-02
-4.8441201660e+00, -2.6566671694e-02, -1.2401075650e-02
-4.8411789880e+00, -2.6566671694e-02, -1.2315381913e-02
-4.8382378100e+00, -2.6566671694e-02, -1.1861010136e-02
-4.8352966320e+00, -2.6566671694e-02, -1.2589006519e-02
-4.8323554540e+00, -2.6566671694e-02, -1.1717765580e-02
-4.8294142760e+00, -2.6566671694e-02, -1.2120447229e-02
-4.8264730980e+00, -2.6566671694e-02, -1.2626892110e-02
-4.8235319200e+00, -2.6566671694e-02, -1.1769792263e-02
-4.8205907420e+00, -2.6566671694e-02, -1.2361925078e-02
-4.8176495640e+00, -2.6566671694e-02, -1.2257738252e-02
-4.8147083860e+00, -2.6566671694e-02, -1.1658096789e-02
-4.8117672080e+00, -2.6566671694e-02, -1.2461156430e-02
-4.8088260300e+00, -2.6566671694e-02, -1.2470318836e-02
-4.8058848520e+00, -2.6566671694e-02, -1.2037550376e-02
-4.8029436740e+00, -2.6566671694e-02, -1.2344737588e-02
-4.8000024960e+00, -2.6566671694e-02, -1.1966479351e-02
-4.7970613180e+00, -2.6566671694e-02, -1.1885775904e-02
-4.7941201400e+00, -2.6566671694e-02, -1.2382338849e-02
-4.7911789620e+00, -2.6566671694e-02, -1.2178085087e-02
-4.7882377840e+00, -2.6566671694e-02, -1.1936537606e-02
-4.7852966060e+00, -2.6566671694e-02, -1.2489252927e-02
-4.7823554280e+00, -2.6566671694e-02, -1.1864700630e-02
-4.7794142500e+00, -2.6566671694e-02, -1.1879439395e-02
-4.7764730720e+00, -2.6566671694e-02, -1.2703423441e-02
-4.7735318940e+00, -2.6566671694e-02, -1.1687028870e-02
-4.7705907160e+00, -2.6566671694e-02, -1.2403094977e-02
-4.7676495380e+00, -2.6566671694e-02, -1.2385391050e-02
-4.7647083600e+00, -2.6566671694e-02, -1.1386009889e-02
-4.7617671820e+00, -2.6566671694e-02, -1.2697939924e-02
-4.7588260040e+00, -2.6566671694e-02, -1.2161448850e-02
-4.7558848260e+00, -2.6566671694e-02, -1.1983777091e-02
-4.7529436480e+00, -2.6566671694e-02, -1.2333114853e-02
-4.7500024700e+00, -2.6566671694e-02, -1.2103921243e-02
-4.7470612920e+00, -2.6566671694e-02, -1.1797418744e-02
-4.7441201140e+00, -2.6566671694e-02, -1.2353244293e-02
-4.7411789360e+00, -2.6566671694e-02, -1.2283977897e-02
-4.7382377580e+00, -2.6566671694e-02, -1.2055480606e-02
-4.7352965800e+00, -2.6566671694e-02, -1.2424106422e-02
-4.7323554020e+00, -2.6566671694e-02, -1.1817971779e-02
-4.7294142240e+00, -2.6566671694e-02, -1.1998568081e-02
-4.7264730460e+00, -2.6566671694e-02, -1.2566213656e-02
-4.7235318680e+00, -2.6566671694e-02, -1.1877483898e-02
-4.7205906900e+00, -2.6566671694e-02, -1.2154781590e-02
-4.7176495120e+00, -2.6566671694e-02, -1.2492357352e-02
-4.7147083340e+00, -2.6566671694e-02, -1.1270809607e-02
-4.7117671560e+00, -2.6566671694e-02, -1.2720413640e-02
-4.7088259780e+00, -2.6566671694e-02, -1.2457570384e-02
-4.7058848000e+00, -2.6566671694e-02, -1.1939073370e-02
-4.7029436220e+00, -2.6566671694e-02, -1.2809142171e-02
-4.7000024440e+00, -2.6566671694e-02, -1.1549047331e-02
-4.6970612660e+00, -2.6566671694e-02, -1.1897561114e-02
-4.6941200880e+00, -2.6566671694e-02, -1.2397924804e-02
-4.6911789100e+00, -2.6566671694e-02, -1.2149924760e-02
-4.6882377320e+00, -2.6566671694e-02, -1.1940541444e-02
-4.6852965540e+00, -2.6566671694e-02, -1.2443394476e-02
-4.6823553760e+00, -2.6566671694e-02, -1.1875035174e-02
-4.6794141980e+00, -2.6566671694e-02, -1.2092582838e-02
-4.6764730200e+00, -2.6566671694e-02, -1.2540519461e-02
-4.6735318420e+00, -2.6566671694e-02, -1.1821406956e-02
-4.6705906640e+00, -2.6566671694e-02, -1.2209193167e-02
-4.6676494860e+00, -2.6566671694e-02, -1.2401510850e-02
-4.6647083080e+00, -2.6566671694e-02, -1.1561673927e-02
-4.6617671300e+00, -2.6566671694e-02, -1.2516339761e-02
-4.6588259520e+00, -2.6566671694e-02, -1.2501276046e-02
-4.6558847740e+00, -2.6566671694e-02, -1.1693220313e-02
-4.6529435960e+00, -2.6566671694e-02, -1.2505134818e-02
-4.6500024180e+00, -2.6566671694e-02, -1.2030488534e-02
-4.6470612400e+00, -2.6566671694e-02, -1.1854783877e-02
-4.6441200620e+00, -2.6566671694e-02, -1.2440493144e-02
-4.6411788840e+00, -2.6566671694e-02, -1.2040898512e-02
-4.6382377060e+00, -2.6566671694e-02, -1.2137930655e-02
-4.6352965280e+00, -2.6566671694e-02, -1.2409025299e-02
-4.6323553500e+00, -2.6566671694e-02, -1.1799310413e-02
-4.6294141720e+00, -2.6566671694e-02, -1.1994105833e-02
-4.6264729940e+00, -2.6566671694e-02, -1.2536968231e-02
-4.6235318160e+00, -2.6566671694e-02, -1.1886141472e-02
-4.6205906380e+00, -2.6566671694e-02, -1.2347284958e-02
-4.6176494600e+00, -2.6566671694e-02, -1.2350749148e-02
-4.6147082820e+00, -2.6566671694e-02, -1.1499127015e-02
-4.6117671040e+00, -2.6566671694e-02, -1.2447026944e-02
-4.6088259260e+00, -2.6566671694e-02, -1.2505831137e-02
-4.6058847480e+00, -2.6566671694e-02, -1.1897253573e-02
-4.6029435700e+00, -2.6566671694e-02, -1.2290291195e-02
-4.6000023920e+00, -2.6566671694e-02, -1.2745591398e-02
-4.5970612140e+00, -2.6566671694e-02, -1.1163646014e-02
-4.5941200360e+00, -2.6566671694e-02, -1.2526976044e-02
-4.5911788580e+00, -2.6566671694e-02, -1.2116338943e-02
-4.5882376800e+00, -2.6566671694e-02, -1.1997465575e-02
-4.5852965020e+00, -2.6566671694e-02, -1.2490175551e-02
-4.5823553240e+00, -2.6566671694e-02, -1.1682926387e-02
-4.5794141460e+00, -2.6566671694e-02, -1.2157740948e-02
-4.5764729680e+00, -2.6566671694e-02, -1.2511668617e-02
-4.5735317900e+00, -2.6566671694e-02, -1.1867514922e-02
-4.5705906120e+00, -2.6566671694e-02, -1.2242935657e-02
-4.5676494340e+00, -2.6566671694e-02, -1.2319478593e-02
