% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 42.00 s, time offset -19.00 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-15 T 15:01:41 -0500
% Time (s), Channel A (V), Channel B (V)
-5.0029437780e+00, -3.2533336060e-02, -1.1691276420e-02
-5.0000026000e+00, -3.2533336060e-02, -1.2379356280e-02
-4.9970614220e+00, -3.2533336060e-02, -1.2302441973e-02
-4.9941202440e+00, -3.2533336060e-02, -1.1882149239e-02
-4.9911790660e+00, -3.2533336060e-02, -1.2419922702e-02
-4.9882378880e+00, -3.2533336060e-02, -1.2009471286e-02
-4.9852967100e+00, -3.2533336060e-02, -1.1941011460e-02
-4.9823555320e+00, -3.2533336060e-02, -1.2325217428e-02
-4.9794143540e+00, -3.2533336060e-02, -1.2110304173e-02
-4.9764731760e+00, -3.2533336060e-02, -1.2090499682e-02
-4.9735319980e+00, -3.2533336060e-02, -1.2256142519e-02
-4.9705908200e+00, -3.2533336060e-02, -1.2215169911e-02
-4.9676496420e+00, -3.2533336060e-02, -1.1789097725e-02
-4.9647084640e+00, -3.2533336060e-02, -1.2255417186e-02
-4.9617672860e+00, -3.2533336060e-02, -1.1979703621e-02
-4.9588261080e+00, -3.2533336060e-02, -1.2245674514e-02
-4.9558849300e+00, -3.2533336060e-02, -1.2270962522e-02
-4.9529437520e+00, -3.2533336060e-02, -1.1628915194e-02
-4.9500025740e+00, -3.2533336060e-02, -1.2368058494e-02
-4.9470613960e+00, -3.2533336060e-02, -1.2346861363e-02
-4.9441202180e+00, -3.2533336060e-02, -1.1963467768e-02
-4.9411790400e+00, -3.2533336060e-02, -1.2341546123e-02
-4.9382378620e+00, -3.2533336060e-02, -1.1949384704e-02
