% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 42.00 s, time offset -15.78 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 30.00 mV, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-15 T 15:06:12 -0500
% Time (s), Channel A (V), Channel B (V)
-8.2264748660e+00, 2.4199997284e-02, -1.2109161048e-02
-8.2235336880e+00, 2.4199997284e-02, -1.2166491365e-02
-8.2205925100e+00, 2.4199997284e-02, -1.2453984337e-02
-8.2176513320e+00, 2.4199997284e-02, -1.1665129618e-02
-8.2147101540e+00, 2.4199997284e-02, -1.2366532393e-02
-8.2117689760e+00, 2.4199997284e-02, -1.2428365577e-02
-8.2088277980e+00, 2.4199997284e-02, -1.1785221545e-02
-8.2058866200e+00, 2.4199997284e-02, -1.2409704211e-02
-8.2029454420e+00, 2.4199997284e-02, -1.2447456341e-02
-8.2000042640e+00, 2.4199997284e-02, -1.1401131631e-02
-8.1970630860e+00, 2.4199997284e-02, -1.2695978624e-02
-8.1941219080e+00, 2.4199997284e-02, -1.2287001085e-02
-8.1911807300e+00, 2.4199997284e-02, -1.2017502172e-02
-8.1882395520e+00, 2.4199997284e-02, -1.2534351229e-02
-8.1852983740e+00, 2.4199997284e-02, -1.1921079310e-02
-8.1823571960e+00, 2.4199997284e-02, -1.2168458468e-02
-8.1794160180e+00, 2.4199997284e-02, -1.2242221929e-02
-8.1764748400e+00, 2.4199997284e-02, -1.2170384953e-02
-8.1735336620e+00, 2.4199997284e-02, -1.2203036541e-02
-8.1705924840e+00, 2.4199997284e-02, -1.2552803700e-02
-8.1676513060e+00, 2.4199997284e-02, -1.2303643124e-02
-8.1647101280e+00, 2.4199997284e-02, -1.1943315117e-02
-8.1617689500e+00, 2.4199997284e-02, -1.2497602960e-02
-8.1588277720e+00, 2.4199997284e-02, -1.1825317951e-02
-8.1558865940e+00, 2.4199997284e-02, -1.2274873517e-02
-8.1529454160e+00, 2.4199997284e-02, -1.2320656534e-02
-8.1500042380e+00, 2.4199997284e-02, -1.1457754023e-02
-8.1470630600e+00, 2.4199997284e-02, -1.2619412476e-02
-8.1441218820e+00, 2.4199997284e-02, -1.2395389040e-02
-8.1411807040e+00, 2.4199997284e-02, -1.1858631044e-02
-8.1382395260e+00, 2.4199997284e-02, -1.2732634050e-02
-8.1352983480e+00, 2.4199997284e-02, -1.1824290880e-02
-8.1323571700e+00, 2.4199997284e-02, -1.2151416045e-02
-8.1294159920e+00, 2.4199997284e-02, -1.2459926265e-02
-8.1264748140e+00, 2.4199997284e-02, -1.2012134709e-02
-8.1235336360e+00, 2.4199997284e-02, -1.2305685662e-02
-8.1205924580e+00, 2.4199997284e-02, -1.2199891497e-02
-8.1176512800e+00, 2.4199997284e-02, -1.1833482299e-02
-8.1147101020e+00, 2.4199997284e-02, -1.2351671771e-02
-8.1117689240e+00, 2.4199997284e-02, -1.2490906686e-02
-8.1088277460e+00, 2.4199997284e-02, -1.1861161005e-02
-8.1058865680e+00, 2.4199997284e-02, -1.2338296632e-02
-8.1029453900e+00, 2.4199997284e-02, -1.2664864741e-02
-8.1000042120e+00, 2.4199997284e-02, -1.1435727112e-02
-8.0970630340e+00, 2.4199997284e-02, -1.2301484533e-02
-8.0941218560e+00, 2.4199997284e-02, -1.2300260171e-02
-8.0911806780e+00, 2.4199997284e-02, -1.1938034693e-02
-8.0882395000e+00, 2.4199997284e-02, -1.2474177607e-02
-8.0852983220e+00, 2.4199997284e-02, -1.2119518803e-02
-8.0823571440e+00, 2.4199997284e-02, -1.1914185746e-02
-8.0794159660e+00, 2.4199997284e-02, -1.2511790473e-02
-8.0764747880e+00, 2.4199997284e-02, -1.1921618958e-02
-8.0735336100e+00, 2.4199997284e-02, -1.2369868925e-02
-8.0705924320e+00, 2.4199997284e-02, -1.2372625190e-02
-8.0676512540e+00, 2.4199997284e-02, -1.1630876494e-02
