% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 42.00 s, time offset -17.80 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 50.00 mV, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-15 T 15:07:59 -0500
% Time (s), Channel A (V), Channel B (V)
-6.2000032240e+00, 2.9866663938e-02, -1.2379443320e-02
-6.1970620460e+00, 2.9866663938e-02, -1.2016573746e-02
-6.1941208680e+00, 2.9866663938e-02, -1.2680798855e-02
-6.1911796900e+00, 2.9866663938e-02, -1.1829931069e-02
-6.1882385120e+00, 2.9866663938e-02, -1.2130845602e-02
-6.1852973340e+00, 2.9866663938e-02, -1.2514564146e-02
-6.1823561560e+00, 2.9866663938e-02, -1.1989092331e-02
-6.1794149780e+00, 2.9866663938e-02, -1.2134274976e-02
-6.1764738000e+00, 2.9866663938e-02, -1.2219684383e-02
-6.1735326220e+00, 2.9866663938e-02, -1.1769449905e-02
-6.1705914440e+00, 2.9866663938e-02, -1.2436321029e-02
-6.1676502660e+00, 2.9866663938e-02, -1.2318741655e-02
-6.1647090880e+00, 2.9866663938e-02, -1.1895123995e-02
-6.1617679100e+00, 2.9866663938e-02, -1.2416470117e-02
-6.1588267320e+00, 2.9866663938e-02, -1.2151607533e-02
-6.1558855540e+00, 2.9866663938e-02, -1.1821569431e-02
-6.1529443760e+00, 2.9866663938e-02, -1.2425191520e-02
-6.1500031980e+00, 2.9866663938e-02, -1.2358722008e-02
-6.1470620200e+00, 2.9866663938e-02, -1.1992359231e-02
-6.1441208420e+00, 2.9866663938e-02, -1.2449533694e-02
-6.1411796640e+00, 2.9866663938e-02, -1.1974922226e-02
-6.1382384860e+00, 2.9866663938e-02, -1.2032525269e-02
-6.1352973080e+00, 2.9866663938e-02, -1.2423334668e-02
-6.1323561300e+00, 2.9866663938e-02, -1.2005600909e-02
-6.1294149520e+00, 2.9866663938e-02, -1.2352495750e-02
-6.1264737740e+00, 2.9866663938e-02, -1.2340252129e-02
-6.1235325960e+00, 2.9866663938e-02, -1.1492030357e-02
-6.1205914180e+00, 2.9866663938e-02, -1.2410464360e-02
-6.1176502400e+00, 2.9866663938e-02, -1.2317813229e-02
-6.1147090620e+00, 2.9866663938e-02, -1.1968162123e-02
-6.1117678840e+00, 2.9866663938e-02, -1.2376872740e-02
-6.1088267060e+00, 2.9866663938e-02, -1.2138505118e-02
-6.1058855280e+00, 2.9866663938e-02, -1.1759660812e-02
-6.1029443500e+00, 2.9866663938e-02, -1.2435740763e-02
-6.1000031720e+00, 2.9866663938e-02, -1.2290053286e-02
-6.0970619940e+00, 2.9866663938e-02, -1.2043765028e-02
-6.0941208160e+00, 2.9866663938e-02, -1.2417920783e-02
-6.0911796380e+00, 2.9866663938e-02, -1.1966038348e-02
-6.0882384600e+00, 2.9866663938e-02, -1.2035003006e-02
-6.0852972820e+00, 2.9866663938e-02, -1.2360248108e-02
-6.0823561040e+00, 2.9866663938e-02, -1.2381926860e-02
-6.0794149260e+00, 2.9866663938e-02, -1.1985662957e-02
-6.0764737480e+00, 2.9866663938e-02, -1.2286420818e-02
-6.0735325700e+00, 2.9866663938e-02, -1.1634416119e-02
-6.0705913920e+00, 2.9866663938e-02, -1.2448970836e-02
-6.0676502140e+00, 2.9866663938e-02, -1.2344528692e-02
-6.0647090360e+00, 2.9866663938e-02, -1.1880425848e-02
-6.0617678580e+00, 2.9866663938e-02, -1.2470783049e-02
-6.0588266800e+00, 2.9866663938e-02, -1.2103758768e-02
-6.0558855020e+00, 2.9866663938e-02, -1.1809859655e-02
-6.0529443240e+00, 2.9866663938e-02, -1.2418239929e-02
